version,count_row,overlap count,%
v1,2,3,0.0375
v2,2,4,0.05
v3,2,8,0.1
v4,2,2,0.025
v5,2,3,0.0375
v6,4,32,0.2
v7,2,6,0.075
v8,2,5,0.0625
v9,2,6,0.075
v10,2,4,0.05
v11,2,6,0.075
v12,2,6,0.075
v13,2,3,0.0375
v14,2,5,0.0625
v15,2,5,0.0625
v16,2,3,0.0375
v17,2,9,0.1125
v18,2,4,0.05
v19,2,4,0.05
v20,2,3,0.0375
v21,2,6,0.075
v22,2,6,0.075
v23,2,6,0.075
v24,2,7,0.0875
v25,2,6,0.075
v26,2,6,0.075
v27,2,8,0.1
v28,2,5,0.0625
v29,2,6,0.075
v30,2,8,0.1
v31,2,5,0.0625
v32,2,10,0.125
v33,2,6,0.075
v34,2,6,0.075
v35,2,5,0.0625
,,,0.071785714
